tracking_id	Day0_1_0	Day0_2_0	Day2_1_0	Day2_2_0	Day5_1_0	Day5_2_0	Day14_1_0	Day14_2_0	Fetal_27195_0	Fetal_27197_0
ENSG00000115306	78.4499	70.9604	75.3879	63.7778	112.679	115.49	244.854	208.168	323.228	257.827
ENSG00000115307	47.4523	57.9282	54.0883	56.4853	45.0815	41.311	40.1618	36.9029	44.1073	42.182
ENSG00000115310	124.957	135.685	110.909	104.639	81.2252	79.9235	175.908	214.649	131.534	124.791
ENSG00000115317	12.7364	17.0524	15.3242	15.909	19.7774	16.3029	21.0859	23.204	16.7747	17.0998
ENSG00000115318	5.62521	5.96441	5.9789	7.46842	9.59691	8.44486	2.30942	4.19592	4.22555	6.88701
ENSG00000115325	5.17945	4.16871	3.37336	3.9987	5.64546	3.98383	5.60321	7.57965	3.50366	4.40537
ENSG00000115339	5.36593	6.31698	1.26527	0.442703	1.05454	1.11717	0.530356	0.199323	0.329908	0.768189
ENSG00000115350	21.2361	24.8342	16.1624	16.255	15.1811	14.8922	27.0181	26.4487	47.1468	30.6121
ENSG00000115353	0.454394	0.204983	11.4183	7.80231	0.0373438	0.0247113	0.0643872	0	0.567103	0.88503
ENSG00000115355	26.4895	25.5892	26.5057	25.0454	24.612	26.2623	15.9433	20.5913	33.8914	36.7185
ENSG00000115361	0.046473	0.170251	0.0384662	0.0599995	0.18489	0.274512	1.60252	0.663839	3.19674	4.60074
ENSG00000115363	3.4166	2.2904	3.71147	2.65213	1.39538	1.38726	1.49335	0.181201	2.8962	5.25349
ENSG00000115364	42.3516	49.6321	28.3315	27.0281	27.0091	28.9266	33.2275	33.5067	27.0786	24.2218
ENSG00000115365	25.1819	28.2641	34.5607	32.8661	41.0747	37.7289	35.631	42.1998	40.4831	30.2277
ENSG00000115368	52.0426	60.9657	43.3669	48.4867	35.4667	37.259	18.243	20.7768	17.0475	21.228
ENSG00000115380	21.1387	16.0731	23.1381	21.6118	4.87044	6.06036	1.62775	0.755356	8.12403	21.3868
ENSG00000115386	0	0	0	0.0381972	0.0941206	0	0.256329	0.0894569	0	0
