"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MMD",2848.58474324945,-1.94694452356984,0.217193694996699,-8.96409319616497,3.12844344422145e-19,1.60479668556911e-16
"TIMP4",212.372257260093,-3.22532176234472,0.362205144547385,-8.9046823627398,5.35391284004905e-19,2.6656187222456e-16
"ACSS1",1004.29820972132,-1.99321104987342,0.224197843481355,-8.89041133903315,6.08830988705434e-19,2.9446545648016e-16
"PIK3R1",6011.28731067689,-1.7275673271573,0.197196874488202,-8.76062225449045,1.94175478027689e-18,9.1305624779242e-16
"GLULP3",196.867637320101,-2.92473031336996,0.334326112004052,-8.74813605146855,2.16905659723035e-18,9.92372704808523e-16
"STEAP2",5870.31837311213,-2.01309178219614,0.230246045026936,-8.74321981061881,2.26559291490782e-18,1.00926202272525e-15
"FAM107A",426.361304710451,-4.89374907157476,0.561969408849523,-8.70821257262626,3.08703974974801e-18,1.33993356112139e-15
"TRNP1",1630.69695031997,-2.17035959731741,0.250929484684323,-8.6492808927886,5.18249567350556e-18,2.19323216902755e-15
"TBX18",4182.7680628306,1.85538184678678,0.22016698752624,8.42715734830887,3.54163481916025e-17,1.46226327362792e-14
"ADH1B",62053.1919422455,-1.49329660348772,0.177267114415153,-8.42399115264254,3.63871764606739e-17,1.46657648363402e-14
"FBXO32",6548.20754553983,-1.61881722930077,0.193418692544146,-8.36949732214372,5.78645433350495e-17,2.27797904552493e-14
"PIEZO2",236.197935557615,3.26992661655497,0.393515256420335,8.30952946094215,9.60823004914619e-17,3.69654814254424e-14
"LAMA2",19654.6420803294,-2.05844461427294,0.25105171453902,-8.19928522715987,2.41820541545491e-16,9.09675139396015e-14
"ALPK3",137.479132719671,-4.14866884214746,0.506480119999762,-8.19117805087673,2.58681571634957e-16,9.51948183616643e-14
"STEAP1",2001.75946064658,-1.71564194409461,0.209794621172707,-8.17772130908096,2.89261834746655e-16,1.04183496565774e-13
"INHBB",385.475774735382,-3.32539368931181,0.419330351937917,-7.93024801077158,2.18708665054512e-15,7.71312558758914e-13
"SOX4",2269.30694083658,2.51129601031092,0.316875434231887,7.92518364952575,2.27809397691747e-15,7.87011731454265e-13
"STOM",19989.8642568372,-1.47422607032076,0.186254922313827,-7.91509857568645,2.47057267648792e-15,8.36437085351751e-13
"LRRTM2",98.8955257522174,6.07320134028423,0.772814549522566,7.85854943341344,3.88607357663248e-15,1.28987163735754e-12
"ACSL1",1699.61934961416,-1.81677506396265,0.231310489863354,-7.85427009832499,4.02106912665596e-15,1.30901265723139e-12
"SLC6A9",262.80951373036,2.38456590025947,0.307404662978043,7.75709085593732,8.68996761397295e-15,2.77554286357234e-12
"SIPA1L2",207.386721159805,3.55659479569346,0.458922302392907,7.74988440777167,9.19762355384554e-15,2.88328465776847e-12
"NID1",15520.8776156805,-1.77955415875478,0.230378996328576,-7.72446354535164,1.12325380246289e-14,3.4571709760167e-12
"ADM2",130.133942686902,3.101275960259,0.40606339194222,7.63741824995711,2.21620663449397e-14,6.6992760551275e-12
"RASD1",272.677066262555,-2.61286126229844,0.346584130208675,-7.53889469989656,4.73971485713866e-14,1.40761215967795e-11
